,User,Bullish Occurences,Bullish Percentages,Bearish Occurences,Bearish Percentages,Total,Naive Sentiment Prediction
4760,WonderWoman2020,0.0,0.0,23.0,1.0,23.0,Bearish
2626,HappyItalian,8.0,0.34782608695652173,15.0,0.6521739130434783,23.0,Unpredictable
3049,BlueSkies04,1.0,0.043478260869565216,22.0,0.9565217391304348,23.0,Bearish
155,JacksGhost4You,20.0,0.8695652173913043,3.0,0.13043478260869565,23.0,Bullish
797,Ifeoluwa14,23.0,1.0,0.0,0.0,23.0,Bullish
1901,MaxAlpha41,4.0,0.17391304347826086,19.0,0.8260869565217391,23.0,Bearish
3045,thisguysfalling,2.0,0.08695652173913043,21.0,0.9130434782608695,23.0,Bearish
2306,sphong,17.0,0.7391304347826086,6.0,0.2608695652173913,23.0,Unpredictable
275,6ix9in3,22.0,0.9565217391304348,1.0,0.043478260869565216,23.0,Bullish
202,TaxPreparer,18.0,0.8181818181818182,4.0,0.18181818181818182,22.0,Bullish
2689,letsjustbereal2,4.0,0.18181818181818182,18.0,0.8181818181818182,22.0,Bearish
1466,travis1567,22.0,1.0,0.0,0.0,22.0,Bullish
1101,inclinedTrading,22.0,1.0,0.0,0.0,22.0,Bullish
